ClusterPath,NumberOfClustersSetting,Precision,Recall,F-measure
work_dir/clustering_space\cls_kmeans\S_9,9,0.8333333333333334,0.9976415094339622,0.9081150708458566
work_dir/clustering_space\cls_kmeans\S_8,8,0.8333333333333334,0.9976415094339622,0.9081150708458566
work_dir/clustering_space\cls_hierarchical\S_8,8,0.8421052631578947,0.964622641509434,0.8992098935073858
work_dir/clustering_space\cls_kmeans\S_2,2,0.8163265306122449,1.0,0.898876404494382
work_dir/clustering_space\cls_kmeans\S_4,4,0.8,1.0,0.888888888888889
work_dir/clustering_space\cls_kmeans\S_3,3,0.8,1.0,0.888888888888889
work_dir/clustering_space\cls_kmeans\S_7,7,0.8080808080808081,0.9834905660377359,0.8871986489900668
work_dir/clustering_space\cls_kmeans\S_6,6,0.8080808080808081,0.9834905660377359,0.8871986489900668
work_dir/clustering_space\cls_hierarchical\S_6,6,0.8080808080808081,0.9787735849056604,0.8852743150456637
work_dir/clustering_space\cls_hierarchical\S_5,5,0.8080808080808081,0.9787735849056604,0.8852743150456637
work_dir/clustering_space\cls_kmeans\S_5,5,0.8080808080808081,0.9787735849056604,0.8852743150456637
work_dir/clustering_space\cls_hierarchical\S_4,4,0.8080808080808081,0.9787735849056604,0.8852743150456637
work_dir/clustering_space\cls_hierarchical\S_3,3,0.7920792079207921,1.0,0.8839779005524863
work_dir/clustering_space\cls_hierarchical\S_2,2,0.7920792079207921,1.0,0.8839779005524863
work_dir/clustering_space\cls_kmeans\S_12,12,0.8333333333333334,0.9363207547169812,0.8818302976454908
work_dir/clustering_space\cls_hierarchical\S_7,7,0.8080808080808081,0.964622641509434,0.8794398677614869
work_dir/clustering_space\cls_kmeans\S_10,10,0.8333333333333334,0.9292452830188679,0.8786797502230151
work_dir/clustering_space\cls_hierarchical\S_9,9,0.8421052631578947,0.8584905660377359,0.8502189781021897
work_dir/clustering_space\cls_dbscan\S_20,20,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_19,19,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_18,18,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_17,17,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_16,16,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_15,15,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_14,14,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_13,13,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_12,12,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_11,11,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_10,10,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_9,9,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_8,8,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_7,7,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_6,6,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_5,5,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_4,4,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_3,3,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_dbscan\S_2,2,0.7207207207207207,1.0,0.837696335078534
work_dir/clustering_space\cls_kmeans\S_11,11,0.8333333333333334,0.8160377358490566,0.8245948522402289
work_dir/clustering_space\cls_hierarchical\S_10,10,0.8421052631578947,0.7759433962264151,0.8076716532412734
work_dir/clustering_space\cls_hierarchical\S_11,11,0.8421052631578947,0.7476415094339622,0.7920668384477239
work_dir/clustering_space\cls_hierarchical\S_12,12,0.8421052631578947,0.6650943396226415,0.7432054027343108
work_dir/clustering_space\cls_kmeans\S_13,13,0.8333333333333334,0.6533018867924528,0.7324167107350608
work_dir/clustering_space\cls_kmeans\S_15,15,0.8333333333333334,0.6202830188679245,0.7111952406706328
work_dir/clustering_space\cls_kmeans\S_14,14,0.8333333333333334,0.5966981132075472,0.6954370533260034
work_dir/clustering_space\cls_kmeans\S_16,16,0.8421052631578947,0.5707547169811321,0.6803725180108944
work_dir/clustering_space\cls_hierarchical\S_13,13,0.8421052631578947,0.5613207547169812,0.6736246240934017
work_dir/clustering_space\cls_hierarchical\S_14,14,0.8421052631578947,0.5259433962264151,0.6474911532528809
work_dir/clustering_space\cls_hierarchical\S_16,16,0.8421052631578947,0.5094339622641509,0.6348273328434973
work_dir/clustering_space\cls_hierarchical\S_15,15,0.8421052631578947,0.5094339622641509,0.6348273328434973
work_dir/clustering_space\cls_hierarchical\S_17,17,0.8421052631578947,0.47641509433962265,0.6085482959894558
work_dir/clustering_space\cls_hierarchical\S_18,18,0.8421052631578947,0.4740566037735849,0.6066207677072526
work_dir/clustering_space\cls_hierarchical\S_19,19,0.851063829787234,0.44575471698113206,0.5850713926401734
work_dir/clustering_space\cls_kmeans\S_19,19,0.8421052631578947,0.44575471698113206,0.5829397590361446
work_dir/clustering_space\cls_kmeans\S_17,17,0.8333333333333334,0.4410377358490566,0.5768044417026527
work_dir/clustering_space\cls_kmeans\S_18,18,0.8421052631578947,0.38443396226415094,0.5278817933407549
work_dir/clustering_space\cls_kmeans\S_20,20,0.851063829787234,0.33254716981132076,0.47822953321745026
work_dir/clustering_space\cls_hierarchical\S_20,20,0.8602150537634409,0.3160377358490566,0.46224828597300677
