ClusterPath,NumberOfClustersSetting,Precision,Recall,F-measure
work_dir/clustering_space\cls_kmeans\S_20,20,0.8772845953002611,0.9901848085595544,0.9303219396839377
work_dir/clustering_space\cls_kmeans\S_17,17,0.8615384615384616,0.9992041736669909,0.9252787680106215
work_dir/clustering_space\cls_kmeans\S_18,18,0.8615384615384616,0.9988504730745424,0.9251270891466747
work_dir/clustering_space\cls_kmeans\S_16,16,0.850632911392405,0.9994694491113273,0.919064399349072
work_dir/clustering_space\cls_hierarchical\S_19,19,0.8463476070528967,0.9987620479264303,0.9162597648292677
work_dir/clustering_space\cls_hierarchical\S_18,18,0.8463476070528967,0.9987620479264303,0.9162597648292677
work_dir/clustering_space\cls_hierarchical\S_17,17,0.8463476070528967,0.9987620479264303,0.9162597648292677
work_dir/clustering_space\cls_hierarchical\S_16,16,0.8463476070528967,0.9987620479264303,0.9162597648292677
work_dir/clustering_space\cls_kmeans\S_15,15,0.8463476070528967,0.9954903174462817,0.914880551440578
work_dir/clustering_space\cls_kmeans\S_12,12,0.8421052631578947,1.0,0.9142857142857143
work_dir/clustering_space\cls_kmeans\S_13,13,0.8421052631578947,0.9968166946679635,0.9129529194115369
work_dir/clustering_space\cls_kmeans\S_11,11,0.8379052369077307,1.0,0.9118046132971506
work_dir/clustering_space\cls_kmeans\S_9,9,0.8379052369077307,1.0,0.9118046132971506
work_dir/clustering_space\cls_kmeans\S_8,8,0.8379052369077307,1.0,0.9118046132971506
work_dir/clustering_space\cls_hierarchical\S_7,7,0.8379052369077307,1.0,0.9118046132971506
work_dir/clustering_space\cls_kmeans\S_7,7,0.8379052369077307,1.0,0.9118046132971506
work_dir/clustering_space\cls_hierarchical\S_6,6,0.8379052369077307,1.0,0.9118046132971506
work_dir/clustering_space\cls_kmeans\S_6,6,0.8379052369077307,1.0,0.9118046132971506
work_dir/clustering_space\cls_hierarchical\S_5,5,0.8379052369077307,1.0,0.9118046132971506
work_dir/clustering_space\cls_kmeans\S_5,5,0.8379052369077307,1.0,0.9118046132971506
work_dir/clustering_space\cls_hierarchical\S_4,4,0.8379052369077307,1.0,0.9118046132971506
work_dir/clustering_space\cls_kmeans\S_4,4,0.8379052369077307,1.0,0.9118046132971506
work_dir/clustering_space\cls_hierarchical\S_8,8,0.8379052369077307,0.9998231497037757,0.9117310906461789
work_dir/clustering_space\cls_hierarchical\S_12,12,0.8379052369077307,0.9993810239632152,0.9115472220948673
work_dir/clustering_space\cls_hierarchical\S_11,11,0.8379052369077307,0.9993810239632152,0.9115472220948673
work_dir/clustering_space\cls_hierarchical\S_10,10,0.8379052369077307,0.9993810239632152,0.9115472220948673
work_dir/clustering_space\cls_hierarchical\S_9,9,0.8379052369077307,0.9993810239632152,0.9115472220948673
work_dir/clustering_space\cls_kmeans\S_14,14,0.8379052369077307,0.9992041736669909,0.9114736498940599
work_dir/clustering_space\cls_hierarchical\S_13,13,0.8379052369077307,0.9989388982226545,0.9113632650297643
work_dir/clustering_space\cls_hierarchical\S_15,15,0.8379052369077307,0.9987620479264303,0.9112896574055431
work_dir/clustering_space\cls_hierarchical\S_14,14,0.8379052369077307,0.9987620479264303,0.9112896574055431
work_dir/clustering_space\cls_hierarchical\S_20,20,0.8463476070528967,0.9795737907860995,0.9081003538758616
work_dir/clustering_space\cls_kmeans\S_10,10,0.8296296296296296,0.9993810239632152,0.9066279708549487
work_dir/clustering_space\cls_kmeans\S_19,19,0.84,0.9815191440445663,0.9052620541409622
work_dir/clustering_space\cls_hierarchical\S_3,3,0.8057553956834532,1.0,0.8924302788844622
work_dir/clustering_space\cls_hierarchical\S_2,2,0.8057553956834532,1.0,0.8924302788844622
work_dir/clustering_space\cls_kmeans\S_3,3,0.801909307875895,1.0,0.8900662251655629
work_dir/clustering_space\cls_dbscan\S_20,20,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_19,19,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_18,18,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_17,17,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_16,16,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_15,15,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_14,14,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_13,13,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_12,12,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_11,11,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_10,10,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_9,9,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_8,8,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_7,7,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_6,6,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_5,5,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_4,4,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_3,3,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_dbscan\S_2,2,0.7980997624703088,1.0,0.8877146631439894
work_dir/clustering_space\cls_kmeans\S_2,2,0.7980997624703088,1.0,0.8877146631439894
