ClusterPath,NumberOfClustersSetting,Precision,Recall,F-measure
work_dir/clustering_space\cls_kmeans\S_6,6,0.6529850746268657,0.9940860215053764,0.7882153192567404
work_dir/clustering_space\cls_kmeans\S_7,7,0.6481481481481481,0.9763440860215054,0.7790934274717461
work_dir/clustering_space\cls_kmeans\S_8,8,0.6505576208178439,0.964516129032258,0.7770212576384197
work_dir/clustering_space\cls_kmeans\S_3,3,0.631768953068592,1.0,0.7743362831858407
work_dir/clustering_space\cls_hierarchical\S_8,8,0.6340579710144928,0.9833333333333333,0.7709826762246118
work_dir/clustering_space\cls_hierarchical\S_6,6,0.6227758007117438,0.9967741935483871,0.7665917677329723
work_dir/clustering_space\cls_hierarchical\S_5,5,0.6205673758865248,1.0,0.7658643326039386
work_dir/clustering_space\cls_hierarchical\S_4,4,0.6205673758865248,1.0,0.7658643326039386
work_dir/clustering_space\cls_hierarchical\S_3,3,0.6205673758865248,1.0,0.7658643326039386
work_dir/clustering_space\cls_hierarchical\S_7,7,0.6227758007117438,0.9935483870967742,0.7656358755095953
work_dir/clustering_space\cls_hierarchical\S_10,10,0.6554307116104869,0.9145161290322581,0.763595227193148
work_dir/clustering_space\cls_hierarchical\S_11,11,0.660377358490566,0.9043010752688172,0.7633261154260078
work_dir/clustering_space\cls_kmeans\S_5,5,0.6161971830985915,1.0,0.7625272331154683
work_dir/clustering_space\cls_kmeans\S_4,4,0.6161971830985915,1.0,0.7625272331154683
work_dir/clustering_space\cls_kmeans\S_9,9,0.6457564575645757,0.9247311827956989,0.7604658800939844
work_dir/clustering_space\cls_hierarchical\S_2,2,0.603448275862069,1.0,0.7526881720430108
work_dir/clustering_space\cls_kmeans\S_2,2,0.603448275862069,1.0,0.7526881720430108
work_dir/clustering_space\cls_hierarchical\S_9,9,0.6340579710144928,0.9166666666666666,0.7496105919003115
work_dir/clustering_space\cls_kmeans\S_12,12,0.6704980842911877,0.8290322580645161,0.7413848525060375
work_dir/clustering_space\cls_kmeans\S_10,10,0.6578947368421053,0.8301075268817204,0.7340356748944586
work_dir/clustering_space\cls_hierarchical\S_12,12,0.6653992395437263,0.8145161290322581,0.7324451443134492
work_dir/clustering_space\cls_kmeans\S_11,11,0.6481481481481481,0.8344086021505376,0.7295779944663819
work_dir/clustering_space\cls_kmeans\S_13,13,0.6679389312977099,0.8,0.7280291211648466
work_dir/clustering_space\cls_dbscan\S_20,20,0.5700325732899023,1.0,0.7261410788381742
work_dir/clustering_space\cls_dbscan\S_19,19,0.5700325732899023,1.0,0.7261410788381742
work_dir/clustering_space\cls_dbscan\S_18,18,0.5700325732899023,1.0,0.7261410788381742
